thisRow.t,notes,block_sign,block_pressure,comp_m,rt,chose_delayed,max_deviation,raw_trajectory,choice_side,participant,age,gender,
,,gain,no_pressure,50,1.0080786000003172,True,0.4271962983809989,"0.020,-0.396;0.020,-0.396;0.020,-0.396;0.020,-0.396;0.020,-0.396;0.020,-0.396;0.020,-0.396;0.020,-0.396;0.020,-0.396;0.020,-0.396;0.020,-0.396;0.020,-0.396;0.020,-0.396;0.020,-0.396;0.020,-0.396;0.020,-0.396;0.020,-0.396;0.020,-0.396;0.020,-0.396;0.020,-0.396;0.020,-0.396;0.020,-0.371;0.028,-0.330;0.039,-0.280;0.042,-0.212;0.018,0.007;0.013,0.027;0.000,0.092;-0.004,0.112;-0.037,0.208;-0.057,0.245;-0.077,0.282;-0.088,0.293;-0.089,0.299;-0.089,0.305;-0.083,0.311;-0.069,0.318;-0.015,0.327;-0.013,0.327;-0.007,0.327;-0.007,0.327;-0.007,0.327;-0.007,0.327;-0.007,0.327;-0.007,0.327;0.056,0.313;0.073,0.309;0.217,0.274;0.260,0.268;0.277,0.266;0.319,0.263;0.422,0.260;0.424,0.260;0.424,0.260;0.424,0.260;0.424,0.260;0.424,0.260;0.424,0.260;0.424,0.260;0.424,0.260",right,02,21,M,
,,gain,no_pressure,75,1.4668399000001955,True,0.31876926789426574,"0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;-0.003,-0.393;-0.047,-0.347;-0.083,-0.314;-0.185,-0.225;-0.202,-0.206;-0.206,-0.203;-0.211,-0.195;-0.211,-0.195;-0.216,-0.180;-0.219,-0.174;-0.222,-0.172;-0.223,-0.167;-0.227,-0.157;-0.227,-0.154;-0.217,-0.138;-0.216,-0.136;-0.205,-0.128;-0.205,-0.128;-0.205,-0.128;-0.205,-0.128;-0.205,-0.128;-0.205,-0.128;-0.205,-0.128;-0.205,-0.128;-0.205,-0.128;-0.205,-0.128;-0.205,-0.128;-0.205,-0.128;-0.205,-0.128;-0.205,-0.128;-0.205,-0.128;-0.205,-0.128;-0.205,-0.128;-0.205,-0.128;-0.205,-0.128;-0.205,-0.128;-0.205,-0.128;-0.205,-0.128;-0.205,-0.128;-0.200,-0.126;-0.141,-0.083;-0.098,-0.053;0.006,0.013;0.083,0.062;0.177,0.118;0.304,0.183;0.372,0.218;0.415,0.247;0.415,0.247;0.415,0.247;0.415,0.247;0.415,0.247;0.415,0.247;0.415,0.247;0.415,0.247;0.415,0.247;0.415,0.247;0.415,0.247;0.415,0.247;0.415,0.247;0.415,0.247;0.415,0.247;0.415,0.247;0.415,0.247;0.415,0.247;0.415,0.247",right,02,21,M,
,,gain,no_pressure,99,2.0039002000003165,False,0.03379946517555935,"0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.013,-0.382;0.013,-0.382;0.013,-0.382;0.013,-0.382;0.013,-0.382;0.013,-0.382;0.013,-0.382;0.013,-0.382;0.013,-0.382;0.013,-0.382;0.013,-0.382;0.013,-0.382;0.013,-0.382;0.013,-0.382;0.013,-0.382;0.028,-0.344;0.056,-0.285;0.058,-0.280;0.072,-0.260;0.072,-0.260;0.072,-0.260;0.072,-0.260;0.072,-0.260;0.072,-0.260;0.072,-0.260;0.072,-0.260;0.072,-0.260;0.072,-0.260;0.072,-0.260;0.079,-0.240;0.126,-0.147;0.166,-0.073;0.177,-0.052;0.196,-0.013;0.269,0.139;0.286,0.168;0.292,0.177;0.292,0.177;0.297,0.182;0.303,0.187;0.305,0.188;0.307,0.188;0.307,0.188;0.307,0.188;0.307,0.188;0.318,0.196;0.318,0.197;0.326,0.201;0.338,0.209;0.347,0.223;0.348,0.226;0.348,0.240;0.348,0.240;0.348,0.242;0.348,0.242;0.348,0.242;0.348,0.242",right,02,21,M,
,,gain,no_pressure,86.5,1.5898763000000145,False,0.27597728446098885,"0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.001,-0.399;0.001,-0.399;0.001,-0.399;0.001,-0.399;0.001,-0.399;0.004,-0.399;0.004,-0.399;0.004,-0.399;0.006,-0.399;0.016,-0.399;0.017,-0.398;0.022,-0.387;0.021,-0.368;0.021,-0.367;0.009,-0.319;-0.001,-0.278;-0.030,-0.207;-0.058,-0.145;-0.077,-0.086;-0.077,-0.086;-0.085,-0.037;-0.081,-0.003;-0.065,0.043;-0.033,0.092;0.013,0.152;0.074,0.207;0.143,0.247;0.253,0.290;0.312,0.302;0.347,0.307;0.376,0.307;0.378,0.307;0.378,0.307;0.378,0.307;0.385,0.307;0.388,0.307;0.391,0.307;0.392,0.307;0.396,0.307;0.403,0.307;0.417,0.307;0.419,0.307;0.419,0.307;0.419,0.307;0.419,0.307;0.419,0.307;0.419,0.307;0.419,0.307;0.419,0.307;0.419,0.307;0.419,0.307;0.419,0.307;0.419,0.307;0.419,0.307;0.419,0.307;0.419,0.307;0.419,0.307;0.419,0.307;0.419,0.307;0.419,0.307;0.419,0.307;0.419,0.307;0.419,0.307;0.419,0.307;0.419,0.307",right,02,21,M,
,,gain,no_pressure,74.0,0.8437601000000541,False,0.12269102496449197,"0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;-0.022,-0.372;-0.207,-0.223;-0.247,-0.182;-0.332,-0.067;-0.338,-0.057;-0.347,0.021;-0.347,0.027;-0.347,0.027;-0.333,0.091;-0.333,0.091;-0.323,0.168;-0.323,0.172;-0.323,0.203;-0.323,0.208;-0.321,0.218;-0.319,0.220;-0.312,0.240;-0.305,0.271;-0.305,0.272;-0.305,0.272;-0.305,0.275;-0.305,0.275;-0.305,0.275",left,02,21,M,
,,gain,no_pressure,61.5,0.9791712000001098,True,0.1928740122862192,"0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.003,-0.401;0.005,-0.401;0.021,-0.401;0.022,-0.401;0.023,-0.399;0.023,-0.399;0.023,-0.399;0.023,-0.399;0.023,-0.399;0.023,-0.399;0.023,-0.399;0.023,-0.399;0.023,-0.399;0.023,-0.399;0.023,-0.399;0.023,-0.399;0.023,-0.399;0.023,-0.399;0.023,-0.399;0.023,-0.399;0.023,-0.399;0.047,-0.400;0.047,-0.400;0.047,-0.400;0.053,-0.399;0.061,-0.394;0.063,-0.391;0.073,-0.370;0.075,-0.364;0.077,-0.332;0.077,-0.297;0.050,-0.201;0.044,-0.186;0.027,-0.122;-0.015,0.007;-0.062,0.097;-0.101,0.158;-0.101,0.158;-0.170,0.267;-0.175,0.272;-0.177,0.280;-0.184,0.289;-0.195,0.294;-0.196,0.296;-0.218,0.300;-0.225,0.302;-0.249,0.307;-0.311,0.316;-0.311,0.316;-0.311,0.316;-0.311,0.316;-0.311,0.316",left,02,21,M,
,,gain,no_pressure,67.75,0.9292070999999851,True,0.1105976383420442,"0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;-0.013,-0.357;-0.029,-0.288;-0.083,-0.119;-0.092,-0.099;-0.110,-0.067;-0.168,0.033;-0.174,0.043;-0.191,0.069;-0.207,0.083;-0.210,0.086;-0.212,0.087;-0.215,0.090;-0.220,0.098;-0.220,0.098;-0.228,0.113;-0.228,0.115;-0.229,0.122;-0.245,0.159;-0.248,0.166;-0.257,0.180;-0.278,0.224;-0.282,0.234;-0.304,0.299;-0.308,0.336;-0.308,0.351;-0.308,0.360;-0.308,0.362;-0.308,0.362",left,02,21,M,
,,gain,no_pressure,74.0,0.9513304000001881,False,0.3131877048377514,"0.015,-0.422;0.015,-0.422;0.015,-0.422;0.015,-0.422;0.015,-0.422;0.015,-0.422;0.015,-0.422;0.015,-0.422;0.015,-0.422;0.015,-0.422;0.015,-0.422;0.015,-0.422;0.015,-0.422;0.015,-0.422;0.015,-0.422;0.015,-0.422;0.015,-0.422;0.015,-0.422;0.015,-0.422;0.015,-0.422;0.015,-0.422;0.015,-0.422;0.015,-0.422;0.015,-0.422;-0.017,-0.366;-0.052,-0.312;-0.133,-0.193;-0.133,-0.193;-0.187,-0.109;-0.188,-0.107;-0.188,-0.099;-0.185,-0.092;-0.142,-0.056;-0.135,-0.051;-0.047,-0.018;-0.027,-0.013;0.219,0.054;0.240,0.063;0.303,0.080;0.344,0.100;0.367,0.115;0.376,0.132;0.383,0.147;0.407,0.203;0.410,0.210;0.454,0.273;0.463,0.283;0.502,0.327;0.533,0.364;0.547,0.388;0.562,0.408;0.562,0.408;0.562,0.408;0.562,0.408;0.562,0.408;0.562,0.408;0.562,0.408;0.562,0.408",right,02,21,M,
,,gain,no_pressure,70.875,1.3103040999999394,True,0.40207926462668414,"0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.008,-0.406;0.012,-0.405;0.027,-0.402;0.027,-0.402;0.031,-0.402;0.031,-0.402;0.031,-0.402;0.031,-0.402;0.031,-0.402;0.031,-0.402;0.031,-0.402;0.034,-0.400;0.040,-0.385;0.046,-0.363;0.046,-0.363;0.046,-0.363;0.046,-0.363;0.046,-0.363;0.046,-0.363;0.046,-0.363;0.047,-0.355;0.046,-0.292;0.042,-0.280;0.034,-0.245;0.028,-0.196;0.028,-0.191;0.025,-0.175;0.008,-0.107;-0.011,-0.034;-0.023,0.012;-0.053,0.071;-0.079,0.127;-0.079,0.127;-0.114,0.185;-0.114,0.186;-0.114,0.186;-0.118,0.188;-0.118,0.188;-0.118,0.196;-0.118,0.198;-0.118,0.203;-0.114,0.207;-0.082,0.217;-0.033,0.228;0.097,0.233;0.291,0.248;0.592,0.273;0.722,0.282;0.772,0.294;0.773,0.297;0.765,0.297;0.695,0.304;0.686,0.306;0.653,0.316;0.581,0.333;0.563,0.334;0.549,0.338;0.546,0.338;0.541,0.340;0.541,0.340;0.517,0.340;0.512,0.340;0.482,0.340;0.477,0.340;0.456,0.338;0.456,0.338;0.455,0.337;0.455,0.337;0.455,0.337;0.455,0.337",right,02,21,M,
,,gain,no_pressure,72.4375,0.723555000000033,True,0.1368516571634266,"0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;-0.011,-0.335;-0.032,-0.264;-0.092,-0.154;-0.141,-0.082;-0.171,-0.042;-0.203,0.000;-0.210,0.025;-0.210,0.028;-0.210,0.037;-0.209,0.037;-0.208,0.041;-0.199,0.062;-0.200,0.067;-0.200,0.067;-0.243,0.101;-0.243,0.101;-0.332,0.142;-0.389,0.176;-0.453,0.220;-0.517,0.262;-0.553,0.292;-0.563,0.321;-0.563,0.324;-0.563,0.324;-0.563,0.324;-0.563,0.324;-0.563,0.324",left,02,21,M,
